skill,job_count
sql,57
etl,48
python,45
azure,33
spark,31
aws,29
data modeling,21
gcp,19
java,16
scala,15
tableau,14
snowflake,14
kafka,12
dbt,12
airflow,11
power bi,10
hadoop,10
kubernetes,6
hive,6
docker,4
